id,repo_name,owner,stars,last_updated
266,angular.js,angular,58979,2025-12-23 17:13:37.440345
267,drawio-desktop,jgraph,58592,2025-12-23 17:13:37.440345
268,awesome-flutter,Solido,58341,2025-12-23 17:13:37.440345
269,ripgrep,BurntSushi,58295,2025-12-23 17:13:37.440345
271,rails,rails,58012,2025-12-23 17:13:37.440345
272,Magisk,topjohnwu,57680,2025-12-23 17:13:37.440345
273,crawl4ai,unclecode,57585,2025-12-23 17:13:37.440345
274,mkcert,FiloSottile,57517,2025-12-23 17:13:37.440345
275,fuel-core,FuelLabs,57433,2025-12-23 17:13:37.440345
276,awesome-chatgpt-prompts-zh,PlexPt,57418,2025-12-23 17:13:37.440345
277,html5-boilerplate,h5bp,57313,2025-12-23 17:13:37.440345
278,spec-kit,github,57294,2025-12-23 17:13:37.440345
279,DeepLearning-500-questions,scutan90,56993,2025-12-23 17:13:37.440345
280,ladybird,LadybirdBrowser,56967,2025-12-23 17:13:37.440345
281,private-gpt,zylon-ai,56922,2025-12-23 17:13:37.440345
282,you-get,soimort,56627,2025-12-23 17:13:37.440345
283,yolov5,ultralytics,56446,2025-12-23 17:13:37.440345
284,cline,cline,56329,2025-12-23 17:13:37.440345
285,bat,sharkdp,56324,2025-12-23 17:13:37.440345
286,zustand,pmndrs,56235,2025-12-23 17:13:37.440345
287,react-router,remix-run,56061,2025-12-23 17:13:37.440345
288,gatsby,gatsbyjs,55960,2025-12-23 17:13:37.440345
289,face_recognition,ageitgey,55941,2025-12-23 17:13:37.440345
290,OpenBB,OpenBB-finance,55752,2025-12-23 17:13:37.440345
291,leetcode,azl397985856,55751,2025-12-23 17:13:37.440345
292,FFmpeg,FFmpeg,55703,2025-12-23 17:13:37.440345
293,gpt-engineer,AntonOsika,55131,2025-12-23 17:13:37.440345
294,meilisearch,meilisearch,55074,2025-12-23 17:13:37.440345
295,astro,withastro,55061,2025-12-23 17:13:37.440345
296,pi-hole,pi-hole,54874,2025-12-23 17:13:37.440345
297,rich,Textualize,54859,2025-12-23 17:13:37.440345
298,project-layout,golang-standards,54816,2025-12-23 17:13:37.440345
299,faceswap,deepfakes,54812,2025-12-23 17:13:37.440345
300,awesome-android-ui,wasabeef,54803,2025-12-23 17:13:37.440345
347,chinese-poetry,chinese-poetry,50566,2025-12-23 17:13:41.189311
348,grok-1,xai-org,50565,2025-12-23 17:13:41.189311
349,go-ethereum,ethereum,50526,2025-12-23 17:13:41.189311
350,Motrix,agalwood,50293,2025-12-23 17:13:41.189311
356,typst,typst,49800,2025-12-23 17:13:44.997330
357,unsloth,unslothai,49795,2025-12-23 17:13:44.997330
358,cypress,cypress-io,49484,2025-12-23 17:13:44.997330
359,mastodon,mastodon,49405,2025-12-23 17:13:44.997330
360,hacker-scripts,NARKOZ,49308,2025-12-23 17:13:44.997330
361,windows,dockur,49200,2025-12-23 17:13:44.997330
362,100-Days-Of-ML-Code,Avik-Jain,49093,2025-12-23 17:13:44.997330
363,coolify,coollabsio,48704,2025-12-23 17:13:44.997330
364,alist,AlistGo,48685,2025-12-23 17:13:44.997330
365,v2rayNG,2dust,48566,2025-12-23 17:13:44.997330
366,lazydocker,jesseduffield,48520,2025-12-23 17:13:44.997330
367,RxJava,ReactiveX,48487,2025-12-23 17:13:44.997330
51,30-seconds-of-code,Chalarangelo,126090,2025-12-23 17:13:20.310141
52,react-native,facebook,124866,2025-12-23 17:13:20.310141
53,langchain,langchain-ai,122522,2025-12-23 17:13:20.310141
54,dify,langgenius,122500,2025-12-23 17:13:20.310141
55,hello-algo,krahets,120695,2025-12-23 17:13:20.310141
56,electron,electron,119491,2025-12-23 17:13:20.310141
57,kubernetes,kubernetes,119416,2025-12-23 17:13:20.310141
58,open-webui,open-webui,118520,2025-12-23 17:13:20.310141
59,free-for-dev,ripienaar,116454,2025-12-23 17:13:20.310141
60,free-programming-books-zh_CN,justjavac,116015,2025-12-23 17:13:20.310141
61,node,nodejs,114864,2025-12-23 17:13:20.310141
62,excalidraw,excalidraw,112927,2025-12-23 17:13:20.310141
63,d3,d3,112047,2025-12-23 17:13:20.310141
64,three.js,mrdoob,109984,2025-12-23 17:13:20.310141
65,rust,rust-lang,108727,2025-12-23 17:13:20.310141
66,axios,axios,108391,2025-12-23 17:13:20.310141
67,TypeScript,microsoft,107197,2025-12-23 17:13:20.310141
68,iptv,iptv-org,106629,2025-12-23 17:13:20.310141
69,deno,denoland,105628,2025-12-23 17:13:20.310141
70,nodebestpractices,goldbergyoni,104834,2025-12-23 17:13:20.310141
71,GitHub-Chinese-Top-Charts,GrowingGit,104689,2025-12-23 17:13:20.310141
72,rustdesk,rustdesk,104590,2025-12-23 17:13:20.310141
73,godot,godotengine,104331,2025-12-23 17:13:20.310141
74,generative-ai-for-beginners,microsoft,104136,2025-12-23 17:13:20.310141
75,create-react-app,facebook,103933,2025-12-23 17:13:20.310141
76,ui,shadcn-ui,103376,2025-12-23 17:13:20.310141
77,Awesome-Hacking,Hack-with-Github,103069,2025-12-23 17:13:20.310141
78,frp,fatedier,102546,2025-12-23 17:13:20.310141
79,system-prompts-and-models-of-ai-tools,x1xhlol,101661,2025-12-23 17:13:20.310141
80,papers-we-love,papers-we-love,101312,2025-12-23 17:13:20.310141
81,terminal,microsoft,101160,2025-12-23 17:13:20.310141
82,DeepSeek-V3,deepseek-ai,100804,2025-12-23 17:13:20.310141
83,tauri,tauri-apps,100312,2025-12-23 17:13:20.310141
84,angular,angular,99555,2025-12-23 17:13:20.310141
85,ComfyUI,comfyanonymous,97815,2025-12-23 17:13:20.310141
86,material-ui,mui,97509,2025-12-23 17:13:20.310141
87,ant-design,ant-design,97062,2025-12-23 17:13:20.310141
88,every-programmer-should-know,mtdvio,97001,2025-12-23 17:13:20.310141
89,awesome-mac,jaywcjlove,96685,2025-12-23 17:13:20.310141
90,HowToCook,Anduin2017,96619,2025-12-23 17:13:20.310141
91,pytorch,pytorch,96098,2025-12-23 17:13:20.310141
92,neovim,neovim,95126,2025-12-23 17:13:20.310141
93,supabase,supabase,95036,2025-12-23 17:13:20.310141
94,thefuck,nvbn,94986,2025-12-23 17:13:20.310141
95,Web-Dev-For-Beginners,microsoft,94717,2025-12-23 17:13:20.310141
96,clean-code-javascript,ryanmcdermott,94160,2025-12-23 17:13:20.310141
97,java-design-patterns,iluwatar,93540,2025-12-23 17:13:20.310141
98,fastapi,fastapi,93355,2025-12-23 17:13:20.310141
99,puppeteer,puppeteer,93122,2025-12-23 17:13:20.310141
101,whisper,openai,92265,2025-12-23 17:13:25.091081
102,llama.cpp,ggml-org,91874,2025-12-23 17:13:25.091081
103,tailwindcss,tailwindlabs,91654,2025-12-23 17:13:25.091081
104,DeepSeek-R1,deepseek-ai,91592,2025-12-23 17:13:25.091081
105,nvm,nvm-sh,90517,2025-12-23 17:13:25.091081
106,vue-element-admin,PanJiaChen,90213,2025-12-23 17:13:25.091081
107,app-ideas,florinpop17,89039,2025-12-23 17:13:25.091081
108,storybook,storybookjs,88881,2025-12-23 17:13:25.091081
109,clash-verge-rev,clash-verge-rev,88535,2025-12-23 17:13:25.091081
110,gemini-cli,google-gemini,88345,2025-12-23 17:13:25.091081
111,gin,gin-gonic,87453,2025-12-23 17:13:25.091081
112,bitcoin,bitcoin,87336,2025-12-23 17:13:25.091081
113,immich,immich-app,87193,2025-12-23 17:13:25.091081
114,NextChat,ChatGPTNextWeb,86792,2025-12-23 17:13:25.091081
115,django,django,86243,2025-12-23 17:13:25.091081
116,hugo,gohugoio,85515,2025-12-23 17:13:25.091081
117,bun,oven-sh,85477,2025-12-23 17:13:25.091081
368,MoneyPrinterTurbo,harry0703,48456,2025-12-23 17:13:44.997330
369,dayjs,iamkun,48454,2025-12-23 17:13:44.997330
370,huginn,huginn,48370,2025-12-23 17:13:44.997330
371,algorithm-visualizer,algorithm-visualizer,48294,2025-12-23 17:13:44.997330
372,json,nlohmann,48286,2025-12-23 17:13:44.997330
373,n8n-workflows,Zie619,48281,2025-12-23 17:13:44.997330
374,Free-Certifications,cloudcommunity,48263,2025-12-23 17:13:44.997330
375,julia,JuliaLang,48126,2025-12-23 17:13:44.997330
376,claude-code,anthropics,48111,2025-12-23 17:13:44.997330
